Date,CL-CO,XB-HO,XB-CL,HO-CL,NG-CL,CAP-BAP,BAP-DAE,CAP-DAE
2015-02-26,-7.450000000000003,-13.125,10.430400000000006,23.555400000000006,-41.4274,-19.08354,-5.556180000000001,-24.639720000000004
2015-02-27,-7.940000000000005,-13.108199999999997,11.279199999999996,24.387399999999992,-42.848800000000004,-19.818959999999997,-5.897220000000001,-25.71618
2015-03-02,-6.689999999999998,-11.902800000000013,10.989999999999995,22.89280000000001,-41.849999999999994,-19.031460000000003,-5.923259999999999,-24.954720000000002
2015-03-03,-7.090000000000003,-11.760000000000005,11.525800000000004,23.28580000000001,-42.8914,-19.188539999999996,-5.7661799999999985,-24.954719999999995
2015-03-04,-6.690000000000005,-11.709600000000009,11.157999999999994,22.867600000000003,-42.2422,-19.215,-5.7136799999999965,-24.928679999999996
2015-03-05,-6.699999999999996,-11.948999999999998,10.717599999999997,22.666599999999995,-41.373400000000004,-18.45396,-5.486039999999999,-23.939999999999998
2015-03-06,-6.579999999999998,-12.003599999999992,10.756,22.759599999999992,-40.6612,-17.928960000000004,-5.372219999999995,-23.30118
2015-03-09,-6.099999999999994,-11.911199999999994,10.443600000000004,22.354799999999997,-40.8196,-17.25486,-5.320140000000002,-22.575000000000003
2015-03-10,-5.640000000000001,-11.96159999999999,9.888400000000004,21.849999999999994,-39.3378,-16.458959999999998,-5.1798600000000015,-21.638820000000003
2015-03-11,-6.07,-11.928000000000011,10.303199999999997,22.23120000000001,-39.5174,-16.721459999999997,-4.917360000000006,-21.638820000000003
2015-03-12,-5.890000000000001,-11.335800000000006,10.186999999999998,21.522800000000004,-39.382000000000005,-16.70802,-4.8127799999999965,-21.520799999999998
2015-03-13,-5.660000000000004,-10.86120000000001,9.836799999999997,20.698000000000008,-37.7932,-16.672319999999996,-4.664520000000003,-21.33684
2015-03-16,-6.010000000000005,-10.831800000000015,10.014199999999995,20.84600000000001,-37.1066,-15.815519999999998,-4.943819999999999,-20.759339999999995
2015-03-17,-7.039999999999999,-10.928399999999996,10.645799999999994,21.57419999999999,-35.7102,-15.25146,-4.689720000000001,-19.941180000000003
2015-03-18,-7.130000000000003,-11.066999999999993,10.998000000000005,22.064999999999998,-37.5792,-15.303960000000002,-4.479719999999997,-19.783679999999997
2015-03-19,-7.189999999999998,-11.024999999999991,11.008600000000008,22.0336,-36.2954,-14.93604,-4.558679999999999,-19.49472
2015-03-20,-7.0,-10.84020000000001,10.909999999999997,21.750200000000007,-37.375,-15.04146,-4.6632599999999975,-19.70472
2015-03-23,-6.609999999999999,-10.98299999999999,10.388599999999997,21.371599999999987,-38.3784,-15.33,-4.637219999999999,-19.967219999999998
2015-03-24,-6.210000000000001,-10.92840000000001,10.082399999999993,21.010800000000003,-37.776399999999995,-15.540000000000003,-4.506179999999997,-20.04618
2015-03-25,-6.0,-10.693200000000004,10.079199999999993,20.772399999999998,-39.1306,-16.275,-4.305000000000003,-20.580000000000002
2015-03-26,-6.289999999999992,-10.915800000000004,10.494599999999991,21.410399999999996,-40.952,-17.364479999999997,-4.8207600000000035,-22.18524
2015-03-27,-5.909999999999997,-10.819199999999995,10.1036,20.922799999999995,-39.215,-16.62948,-5.0836799999999975,-21.71316
2015-03-30,-5.990000000000002,-10.957799999999992,10.003000000000007,20.9608,-40.3148,-15.92052,-5.293679999999998,-21.214199999999998
2015-03-31,-5.93,-11.176200000000009,9.746599999999987,20.922799999999995,-39.54900000000001,-15.408539999999999,-5.057220000000001,-20.46576
2015-04-01,-5.949999999999996,-2.120999999999995,18.4946,20.615599999999993,-41.3924,-15.356039999999998,-5.083680000000001,-20.43972
2015-04-02,-5.390000000000001,-1.6043999999999983,17.9418,19.5462,-39.8382,-14.411460000000003,-5.372219999999999,-19.783680000000004
2015-04-06,-5.939999999999998,-1.730400000000003,18.72959999999999,20.459999999999994,-41.945800000000006,-15.25146,-5.372219999999999,-20.62368
2015-04-07,-5.47999999999999,-2.188199999999995,18.309399999999997,20.49759999999999,-42.3472,-15.618540000000001,-5.267220000000002,-20.885760000000005
2015-04-08,-5.25,-2.141999999999996,17.5086,19.650599999999997,-40.071200000000005,-14.83104,-5.092500000000001,-19.923540000000003
2015-04-09,-5.270000000000003,-1.9109999999999872,17.792800000000007,19.703799999999994,-41.3354,-15.225000000000001,-5.25,-20.475
2015-04-10,-5.479999999999997,-1.8017999999999859,18.130000000000003,19.93179999999999,-42.196600000000004,-15.671039999999998,-4.830000000000005,-20.501040000000003
2015-04-13,-5.43,-1.8311999999999955,18.1282,19.959399999999995,-42.454800000000006,-15.93354,-5.040000000000003,-20.973540000000003
2015-04-14,-5.43,-2.011800000000008,18.14459999999999,20.156399999999998,-42.9072,-16.24854,-5.039999999999999,-21.288539999999998
