Date,Strategy,F1_raw,F1_continuous,Signal,Position,F1_cont_daily_change,Daily_PnL,MTM,Cumulative_PnL,Equity
2008-12-11,"CTA(9,21)",3287.0000,3564.0000,-1.0000,-1.0000,11.5000,-11.5000,-3564.0000,5429.5000,5429.5000
2008-12-12,"CTA(9,21)",3143.5000,3420.5000,-1.0000,-1.0000,-143.5000,143.5000,-3420.5000,5573.0000,5573.0000
2008-12-15,"CTA(9,21)",3126.0000,3403.0000,-1.0000,-1.0000,-17.5000,17.5000,-3403.0000,5590.5000,5590.5000
2008-12-16,"CTA(9,21)",3047.0000,3322.5000,-1.0000,-1.0000,-80.5000,80.5000,-3322.5000,5671.0000,5671.0000
2008-12-17,"CTA(9,21)",3000.0000,3273.5000,-1.0000,-1.0000,-49.0000,49.0000,-3273.5000,5720.0000,5720.0000
2008-12-18,"CTA(9,21)",2860.5000,3133.5000,-1.0000,-1.0000,-140.0000,140.0000,-3133.5000,5860.0000,5860.0000
2008-12-19,"CTA(9,21)",2911.0000,3172.0000,-1.0000,-1.0000,38.5000,-38.5000,-3172.0000,5821.5000,5821.5000
2008-12-22,"CTA(9,21)",2939.0000,3200.0000,-1.0000,-1.0000,28.0000,-28.0000,-3200.0000,5793.5000,5793.5000
2008-12-23,"CTA(9,21)",2848.0000,3109.0000,-1.0000,-1.0000,-91.0000,91.0000,-3109.0000,5884.5000,5884.5000
2008-12-24,"CTA(9,21)",2823.0000,3084.0000,-1.0000,-1.0000,-25.0000,25.0000,-3084.0000,5909.5000,5909.5000
2008-12-29,"CTA(9,21)",2881.5000,3142.5000,-1.0000,-1.0000,58.5000,-58.5000,-3142.5000,5851.0000,5851.0000
2008-12-30,"CTA(9,21)",2891.5000,3152.5000,-1.0000,-1.0000,10.0000,-10.0000,-3152.5000,5841.0000,5841.0000
2008-12-31,"CTA(9,21)",3049.2500,3310.2500,-1.0000,-1.0000,157.7500,-157.7500,-3310.2500,5683.2500,5683.2500
2009-01-02,"CTA(9,21)",3207.0000,3468.0000,-1.0000,-1.0000,157.7500,-157.7500,-3468.0000,5525.5000,5525.5000
2009-01-05,"CTA(9,21)",3158.5000,3419.5000,-1.0000,-1.0000,-48.5000,48.5000,-3419.5000,5574.0000,5574.0000
2009-01-06,"CTA(9,21)",3359.5000,3620.5000,-1.0000,-1.0000,201.0000,-201.0000,-3620.5000,5373.0000,5373.0000
2009-01-07,"CTA(9,21)",3311.2500,3572.2500,-1.0000,-1.0000,-48.2500,48.2500,-3572.2500,5421.2500,5421.2500
