Date,Strategy,F1_raw,F1_continuous,Signal,Position,F1_cont_daily_change,Daily_PnL,MTM,Cumulative_PnL,Equity,MA33,MAA48,Crossover,Position,F1_cont_daily_change,Daily PnL,MTM,Cum_PnL
11/25/2010,"MA_Crossover(33,48)",8388,8448.75,1,1,102,102,8448.75,8055.25,8055.25,8426.537879,8304.286458,1,1,102,102,8448.75,8055.25
11/26/2010,"MA_Crossover(33,48)",8287,8347.75,1,1,-101,-101,8347.75,7954.25,7954.25,8424.863636,8317.015625,1,1,-101,-101,8347.75,7954.25
11/29/2010,"MA_Crossover(33,48)",8266,8326.75,1,1,-21,-21,8326.75,7933.25,7933.25,8422.189394,8325.807292,1,1,-21,-21,8326.75,7933.25
11/30/2010,"MA_Crossover(33,48)",8416,8476.75,1,1,150,150,8476.75,8083.25,8083.25,8423.037879,8336.817708,1,1,150,150,8476.75,8083.25
12/1/2010,"MA_Crossover(33,48)",8647,8707.75,1,1,231,231,8707.75,8314.25,8314.25,8431.083333,8351.348958,1,1,231,231,8707.75,8314.25
12/2/2010,"MA_Crossover(33,48)",8774,8834.75,1,1,127,127,8834.75,8441.25,8441.25,8441.628788,8369.328125,1,1,127,127,8834.75,8441.25
12/3/2010,"MA_Crossover(33,48)",8768,8828.75,1,1,-6,-6,8828.75,8435.25,8435.25,8457.295455,8386.348958,1,1,-6,-6,8828.75,8435.25
12/6/2010,"MA_Crossover(33,48)",8816.5,8877.25,1,1,48.5,48.5,8877.25,8483.75,8483.75,8472.037879,8402.036458,1,1,48.5,48.5,8877.25,8483.75
12/7/2010,"MA_Crossover(33,48)",8911,8971.75,1,1,94.5,94.5,8971.75,8578.25,8578.25,8490.598485,8420.807292,1,1,94.5,94.5,8971.75,8578.25
12/8/2010,"MA_Crossover(33,48)",9048,9108.75,1,1,137,137,9108.75,8715.25,8715.25,8512.477273,8440.703125,1,1,137,137,9108.75,8715.25
12/9/2010,"MA_Crossover(33,48)",8987.5,9048.25,1,1,-60.5,-60.5,9048.25,8654.75,8654.75,8526.810606,8460.161458,1,1,-60.5,-60.5,9048.25,8654.75
12/10/2010,"MA_Crossover(33,48)",9033,9093.75,1,1,45.5,45.5,9093.75,8700.25,8700.25,8542.69697,8478.260417,1,1,45.5,45.5,9093.75,8700.25
12/13/2010,"MA_Crossover(33,48)",9295,9355.75,1,1,262,262,9355.75,8962.25,8962.25,8572.969697,8500.109375,1,1,262,262,9355.75,8962.25
12/14/2010,"MA_Crossover(33,48)",9196.5,9280.25,1,1,-75.5,-75.5,9280.25,8886.75,8886.75,8599.106061,8523.171875,1,1,-75.5,-75.5,9280.25,8886.75
12/15/2010,"MA_Crossover(33,48)",9126,9210.75,1,1,-69.5,-69.5,9210.75,8817.25,8817.25,8627.431818,8540.255208,1,1,-69.5,-69.5,9210.75,8817.25
12/16/2010,"MA_Crossover(33,48)",9021.5,9106.75,1,1,-104,-104,9106.75,8713.25,8713.25,8649.568182,8555.598958,1,1,-104,-104,9106.75,8713.25
12/17/2010,"MA_Crossover(33,48)",9104,9203.75,1,1,97,97,9203.75,8810.25,8810.25,8670.083333,8571.46875,1,1,97,97,9203.75,8810.25
12/20/2010,"MA_Crossover(33,48)",9235,9334.75,1,1,131,131,9334.75,8941.25,8941.25,8698.05303,8589.817708,1,1,131,131,9334.75,8941.25
12/21/2010,"MA_Crossover(33,48)",9401,9500.75,1,1,166,166,9500.75,9107.25,9107.25,8722.44697,8610.921875,1,1,166,166,9500.75,9107.25
12/22/2010,"MA_Crossover(33,48)",9393,9492.75,1,1,-8,-8,9492.75,9099.25,9099.25,8744.871212,8631.994792,1,1,-8,-8,9492.75,9099.25
12/23/2010,"MA_Crossover(33,48)",9341,9440.75,1,1,-52,-52,9440.75,9047.25,9047.25,8765.416667,8651.057292,1,1,-52,-52,9440.75,9047.25
12/24/2010,"MA_Crossover(33,48)",9388,9487.75,1,1,47,47,9487.75,9094.25,9094.25,8781.340909,8674.744792,1,1,47,47,9487.75,9094.25
12/29/2010,"MA_Crossover(33,48)",9442,9541.75,1,1,54,54,9541.75,9148.25,9148.25,8801.810606,8697.911458,1,1,54,54,9541.75,9148.25
12/30/2010,"MA_Crossover(33,48)",9535.5,9635.25,1,1,93.5,93.5,9635.25,9241.75,9241.75,8823.015152,8723.682292,1,1,93.5,93.5,9635.25,9241.75
12/31/2010,"MA_Crossover(33,48)",9644,9743.75,1,1,108.5,108.5,9743.75,9350.25,9350.25,8853.80303,8751.140625,1,1,108.5,108.5,9743.75,9350.25
1/4/2011,"MA_Crossover(33,48)",9619.25,9719,1,1,-24.75,-24.75,9719,9325.5,9325.5,8882.568182,8774.15625,1,1,-24.75,-24.75,9719,9325.5
1/5/2011,"MA_Crossover(33,48)",9586,9685.75,1,1,-33.25,-33.25,9685.75,9292.25,9292.25,8925.583333,8796.598958,1,1,-33.25,-33.25,9685.75,9292.25
1/6/2011,"MA_Crossover(33,48)",9492.5,9592.25,1,1,-93.5,-93.5,9592.25,9198.75,9198.75,8964.113636,8821.526042,1,1,-93.5,-93.5,9592.25,9198.75
1/7/2011,"MA_Crossover(33,48)",9436,9535.75,1,1,-56.5,-56.5,9535.75,9142.25,9142.25,8994.022727,8844.484375,1,1,-56.5,-56.5,9535.75,9142.25
1/10/2011,"MA_Crossover(33,48)",9333,9432.75,1,1,-103,-103,9432.75,9039.25,9039.25,9021.356061,8868.270833,1,1,-103,-103,9432.75,9039.25
1/11/2011,"MA_Crossover(33,48)",9524.5,9624.25,1,1,191.5,191.5,9624.25,9230.75,9230.75,9057.931818,8893.96875,1,1,191.5,191.5,9624.25,9230.75
1/12/2011,"MA_Crossover(33,48)",9697.75,9797.5,1,1,173.25,173.25,9797.5,9404,9404,9104.227273,8920.442708,1,1,173.25,173.25,9797.5,9404
1/13/2011,"MA_Crossover(33,48)",9622.5,9722.25,1,1,-75.25,-75.25,9722.25,9328.75,9328.75,9144.727273,8947.744792,1,1,-75.25,-75.25,9722.25,9328.75
1/14/2011,"MA_Crossover(33,48)",9662,9761.75,1,1,39.5,39.5,9761.75,9368.25,9368.25,9183.333333,8969.953125,1,1,39.5,39.5,9761.75,9368.25
