S,L,sharpe,ann_return,max_drawdown,total_pnl,hit_rate,n_days
3,99,0.2585,456.5549,-6448.64,8565.84,0.5038,4728
13,29,0.2584,456.4131,-5856.27,8563.18,0.5057,4728
3,27,0.2581,455.9324,-6655.69,8554.16,0.5008,4728
3,48,0.258,455.6979,-5940.54,8549.76,0.5049,4728
2,59,0.2579,455.6201,-5727.74,8548.3,0.5038,4728
4,115,0.2576,455.0039,-7328.64,8536.74,0.5047,4728
12,76,0.2573,454.5605,-5181.35,8528.42,0.5019,4728
2,37,0.2567,453.3623,-5696.41,8505.94,0.5,4728
11,84,0.2567,453.4859,-4997.2,8508.26,0.5025,4728
13,31,0.2565,453.1299,-4507.53,8501.58,0.5047,4728
3,28,0.2565,453.147,-6649.95,8501.9,0.5006,4728
13,78,0.2562,452.4701,-5498.14,8489.2,0.504,4728
1,55,0.2561,452.4359,-5003.25,8488.56,0.5004,4728
1,47,0.2561,452.4199,-6949.69,8488.26,0.4996,4728
9,87,0.2553,450.9361,-6282.56,8460.42,0.5015,4728
7,92,0.2553,450.999,-6953.88,8461.6,0.5017,4728
9,33,0.255,450.4106,-4647.55,8450.56,0.5047,4728
7,90,0.2549,450.2805,-7144.86,8448.12,0.5019,4728
9,89,0.2548,450.0822,-6130.58,8444.4,0.5019,4728
5,95,0.2547,449.8349,-7745.72,8439.76,0.5013,4728
13,79,0.2546,449.6825,-5607.44,8436.9,0.5038,4728
6,85,0.2543,449.2561,-6052.58,8428.9,0.5021,4728
17,22,0.2542,449.0269,-4198.5,8424.6,0.5034,4728
9,88,0.2541,448.9096,-6130.58,8422.4,0.5019,4728
11,24,0.254,448.7295,-5166.4,8419.02,0.5042,4728
1,54,0.2539,448.4918,-4934.75,8414.56,0.5004,4728
6,95,0.2532,447.268,-7067.88,8391.6,0.5011,4728
9,34,0.2531,447.1049,-4647.55,8388.54,0.5053,4728
1,74,0.2528,446.6124,-5174.44,8379.3,0.5027,4728
7,88,0.2526,446.2106,-7916.22,8371.76,0.5008,4728
5,30,0.2523,445.6541,-5419.3,8361.32,0.5027,4728
14,28,0.2521,445.2906,-4376.45,8354.5,0.504,4728
12,22,0.2519,444.8727,-4951.85,8346.66,0.504,4728
6,86,0.2515,444.2726,-6209.08,8335.4,0.5017,4728
4,29,0.2514,444.101,-5844.04,8332.18,0.5019,4728
16,23,0.2513,443.8036,-4645.5,8326.6,0.504,4728
5,94,0.2506,442.5926,-7738.1,8303.88,0.5019,4728
13,22,0.2505,442.4455,-4589.0,8301.12,0.504,4728
9,90,0.2503,442.0436,-5859.9,8293.58,0.5015,4728
7,89,0.2501,441.6865,-7996.6,8286.88,0.5011,4728
11,82,0.2501,441.7515,-5335.94,8288.1,0.5013,4728
6,38,0.2496,440.9552,-5399.64,8273.16,0.5044,4728
7,93,0.2496,440.8987,-6953.88,8272.1,0.5013,4728
1,35,0.2495,440.6855,-5044.85,8268.1,0.4989,4728
4,99,0.2495,440.742,-7028.32,8269.16,0.5042,4728
4,93,0.2482,438.3819,-7604.6,8224.88,0.5023,4728
9,16,0.2481,438.3041,-5099.0,8223.42,0.4973,4728
1,45,0.2473,436.7403,-6432.87,8194.08,0.4985,4728
4,30,0.2472,436.6486,-5812.25,8192.36,0.5021,4728
14,21,0.2469,436.1295,-4589.0,8182.62,0.504,4728
13,21,0.2466,435.5954,-5051.81,8172.6,0.5044,4728
3,101,0.2465,435.4451,-6877.7,8169.78,0.5038,4728
9,91,0.2463,435.0432,-6154.84,8162.24,0.5019,4728
10,88,0.2462,434.8322,-5044.0,8158.28,0.5021,4728
5,109,0.2461,434.7693,-7468.38,8157.1,0.5034,4728
6,89,0.2461,434.6968,-7534.24,8155.74,0.5006,4728
2,34,0.2461,434.6574,-6556.85,8155.0,0.4987,4728
13,34,0.2459,434.3376,-4654.41,8149.0,0.5017,4728
9,27,0.2458,434.119,-5083.72,8144.9,0.5036,4728
6,29,0.2457,434.0636,-5381.62,8143.86,0.5023,4728
12,81,0.2457,433.9975,-4968.5,8142.62,0.5021,4728
4,85,0.2456,433.8952,-5953.28,8140.7,0.5015,4728
5,93,0.2454,433.4507,-7752.62,8132.36,0.5015,4728
3,49,0.2454,433.4986,-6596.54,8133.26,0.5055,4728
12,84,0.2453,433.2492,-5775.26,8128.58,0.5025,4728
5,91,0.2452,433.1799,-7262.2,8127.28,0.5019,4728
11,83,0.2451,433.0136,-5254.8,8124.16,0.5013,4728
13,77,0.2451,433.0093,-5211.76,8124.08,0.5038,4728
2,48,0.245,432.6842,-6840.63,8117.98,0.5032,4728
16,18,0.2445,431.8133,-4623.77,8101.64,0.5047,4728
10,31,0.2443,431.4999,-4502.89,8095.76,0.5047,4728
