date,USDMXN_Mexico
2006-02-20 00:00:00,10.4463
2006-02-21 00:00:00,10.4823
2006-02-22 00:00:00,10.4633
2006-02-23 00:00:00,10.4845
2006-02-24 00:00:00,10.4818
2006-02-27 00:00:00,10.4755
2006-02-28 00:00:00,10.4883
2006-03-01 00:00:00,10.4753
2006-03-02 00:00:00,10.5285
2006-03-03 00:00:00,10.5873
2006-03-06 00:00:00,10.6955
2006-03-07 00:00:00,10.6663
2006-03-08 00:00:00,10.7163
2006-03-09 00:00:00,10.722
2006-03-10 00:00:00,10.6887
2006-03-13 00:00:00,10.73
2006-03-14 00:00:00,10.67
2006-03-15 00:00:00,10.645
2006-03-16 00:00:00,10.643
2006-03-17 00:00:00,10.6838
2006-03-20 00:00:00,10.7806
2006-03-21 00:00:00,10.848
2006-03-22 00:00:00,10.8693
2006-03-23 00:00:00,10.9088
2006-03-24 00:00:00,10.8713
2006-03-27 00:00:00,10.9685
2006-03-28 00:00:00,11.016
2006-03-29 00:00:00,10.9424
2006-03-30 00:00:00,10.9318
2006-03-31 00:00:00,10.874
2006-04-03 00:00:00,10.852
2006-04-04 00:00:00,10.9265
2006-04-05 00:00:00,11.032
2006-04-06 00:00:00,11.0998
2006-04-07 00:00:00,11.1458
2006-04-10 00:00:00,11.1045
2006-04-11 00:00:00,11.0508
2006-04-12 00:00:00,11.0385
2006-04-13 00:00:00,11.1038
2006-04-14 00:00:00,11.0975
2006-04-17 00:00:00,11.0477
2006-04-18 00:00:00,10.9425
2006-04-19 00:00:00,10.9669
2006-04-20 00:00:00,11.0438
2006-04-21 00:00:00,11.0521
2006-04-24 00:00:00,11.077
2006-04-25 00:00:00,11.152
2006-04-26 00:00:00,11.1463
2006-04-27 00:00:00,11.112
2006-04-28 00:00:00,11.0613
2006-05-01 00:00:00,11.081
2006-05-02 00:00:00,10.9812
2006-05-03 00:00:00,10.9733
2006-05-04 00:00:00,10.9813
2006-05-05 00:00:00,10.9617
2006-05-08 00:00:00,10.933
2006-05-09 00:00:00,10.8768
2006-05-10 00:00:00,10.8537
2006-05-11 00:00:00,10.889
2006-05-12 00:00:00,11.0993
2006-05-15 00:00:00,11.14
