date,COMEX_Copper_Net_NonCommercial_Longs
2009-06-09 00:00:00,-18769.0
2009-06-16 00:00:00,-18464.0
2009-06-23 00:00:00,-21735.0
2009-06-30 00:00:00,-20064.0
2009-07-07 00:00:00,-20961.0
2009-07-14 00:00:00,-20137.0
2009-07-21 00:00:00,-16060.0
2009-07-28 00:00:00,-14575.0
2009-08-04 00:00:00,-10654.0
2009-08-11 00:00:00,-10410.0
2009-08-18 00:00:00,-1257.0
2009-08-25 00:00:00,-1244.0
2009-09-01 00:00:00,-3548.0
2009-09-08 00:00:00,-2248.0
2009-09-15 00:00:00,-2333.0
2009-09-22 00:00:00,-3537.0
2009-09-29 00:00:00,-6281.0
2009-10-06 00:00:00,-4771.0
2009-10-13 00:00:00,-1829.0
2009-10-20 00:00:00,1685.0
2009-10-27 00:00:00,9055.0
2009-11-03 00:00:00,9062.0
2009-11-10 00:00:00,7562.0
2009-11-17 00:00:00,9251.0
2009-11-24 00:00:00,11136.0
2009-12-01 00:00:00,11220.0
2009-12-08 00:00:00,12626.0
2009-12-15 00:00:00,10477.0
2009-12-22 00:00:00,8575.0
2009-12-29 00:00:00,14534.0
2010-01-05 00:00:00,16528.0
2010-01-12 00:00:00,22541.0
2010-01-19 00:00:00,27667.0
2010-01-26 00:00:00,28770.0
2010-02-02 00:00:00,18272.0
2010-02-09 00:00:00,13650.0
2010-02-16 00:00:00,14080.0
2010-02-23 00:00:00,15964.0
2010-03-02 00:00:00,15867.0
2010-03-09 00:00:00,18278.0
2010-03-16 00:00:00,19004.0
2010-03-23 00:00:00,18051.0
2010-03-30 00:00:00,21657.0
2010-04-06 00:00:00,22946.0
2010-04-13 00:00:00,23468.0
2010-04-20 00:00:00,20914.0
2010-04-27 00:00:00,19810.0
2010-05-04 00:00:00,13490.0
2010-05-11 00:00:00,10598.0
2010-05-18 00:00:00,7225.0
2010-05-25 00:00:00,3983.0
2010-06-01 00:00:00,5311.0
2010-06-08 00:00:00,1282.0
2010-06-15 00:00:00,1436.0
2010-06-22 00:00:00,1473.0
2010-06-29 00:00:00,2862.0
2010-07-06 00:00:00,2185.0
2010-07-13 00:00:00,4358.0
2010-07-20 00:00:00,3915.0
2010-07-27 00:00:00,11250.0
2010-08-03 00:00:00,12960.0
2010-08-10 00:00:00,16646.0
2010-08-17 00:00:00,14479.0
2010-08-24 00:00:00,9414.0
2010-08-31 00:00:00,13230.0
2010-09-07 00:00:00,14783.0
2010-09-14 00:00:00,16409.0
2010-09-21 00:00:00,17081.0
2010-09-28 00:00:00,22162.0
2010-10-05 00:00:00,24399.0
2010-10-12 00:00:00,24068.0
2010-10-19 00:00:00,26150.0
2010-10-26 00:00:00,26463.0
2010-11-02 00:00:00,25208.0
2010-11-09 00:00:00,30089.0
2010-11-16 00:00:00,25960.0
2010-11-23 00:00:00,22790.0
2010-11-30 00:00:00,21107.0
2010-12-07 00:00:00,26432.0
2010-12-14 00:00:00,30268.0
2010-12-21 00:00:00,32163.0
2010-12-28 00:00:00,31802.0
2011-01-04 00:00:00,31613.0
2011-01-11 00:00:00,30107.0
2011-01-18 00:00:00,30189.0
2011-01-25 00:00:00,23912.0
2011-02-01 00:00:00,24711.0
2011-02-08 00:00:00,29460.0
2011-02-15 00:00:00,29039.0
2011-02-22 00:00:00,23230.0
2011-03-01 00:00:00,26619.0
2011-03-08 00:00:00,24310.0
2011-03-15 00:00:00,23362.0
2011-03-22 00:00:00,21822.0
2011-03-29 00:00:00,27044.0
2011-04-05 00:00:00,22384.0
2011-04-12 00:00:00,30990.0
2011-04-19 00:00:00,25059.0
2011-04-26 00:00:00,23678.0
2011-05-03 00:00:00,21004.0
2011-05-10 00:00:00,11819.0
2011-05-17 00:00:00,7745.0
2011-05-24 00:00:00,6028.0
2011-05-31 00:00:00,9980.0
2011-06-07 00:00:00,9728.0
2011-06-14 00:00:00,10734.0
2011-06-21 00:00:00,9765.0
2011-06-28 00:00:00,10005.0
2011-07-05 00:00:00,18963.0
2011-07-12 00:00:00,23786.0
2011-07-19 00:00:00,23749.0
2011-07-26 00:00:00,24591.0
2011-08-02 00:00:00,24263.0
2011-08-09 00:00:00,10861.0
2011-08-16 00:00:00,5894.0
2011-08-23 00:00:00,3850.0
2011-08-30 00:00:00,2702.0
2011-09-06 00:00:00,3497.0
2011-09-13 00:00:00,1828.0
2011-09-20 00:00:00,-3299.0
2011-09-27 00:00:00,-1462.0
2011-10-04 00:00:00,-3418.0
2011-10-11 00:00:00,-7059.0
2011-10-18 00:00:00,-5339.0
2011-10-25 00:00:00,-2938.0
2011-11-01 00:00:00,1787.0
2011-11-08 00:00:00,312.0
2011-11-15 00:00:00,-1114.0
2011-11-22 00:00:00,-4222.0
2011-11-29 00:00:00,-3308.0
2011-12-06 00:00:00,-2632.0
2011-12-13 00:00:00,-3356.0
2011-12-20 00:00:00,-4955.0
2011-12-27 00:00:00,-3592.0
2012-01-03 00:00:00,-1548.0
2012-01-10 00:00:00,-1710.0
2012-01-17 00:00:00,2311.0
2012-01-24 00:00:00,4523.0
2012-01-31 00:00:00,4183.0
2012-02-07 00:00:00,7042.0
2012-02-14 00:00:00,9709.0
2012-02-21 00:00:00,9537.0
2012-02-28 00:00:00,10511.0
2012-03-06 00:00:00,11585.0
2012-03-13 00:00:00,9072.0
2012-03-20 00:00:00,12275.0
2012-03-27 00:00:00,8074.0
2012-04-03 00:00:00,9529.0
2012-04-10 00:00:00,419.0
2012-04-17 00:00:00,1257.0
2012-04-24 00:00:00,2322.0
2012-05-01 00:00:00,3890.0
2012-05-08 00:00:00,3531.0
2012-05-15 00:00:00,-3858.0
2012-05-22 00:00:00,-10098.0
2012-05-29 00:00:00,-11638.0
2012-06-05 00:00:00,-16637.0
2012-06-12 00:00:00,-14952.0
2012-06-19 00:00:00,-14282.0
2012-06-26 00:00:00,-16844.0
2012-07-03 00:00:00,-13218.0
2012-07-10 00:00:00,-10365.0
2012-07-17 00:00:00,-8287.0
2012-07-24 00:00:00,-13069.0
2012-07-31 00:00:00,-14720.0
2012-08-07 00:00:00,-17260.0
2012-08-14 00:00:00,-17771.0
2012-08-21 00:00:00,-12879.0
2012-08-28 00:00:00,-8096.0
2012-09-04 00:00:00,-10059.0
2012-09-11 00:00:00,2529.0
2012-09-18 00:00:00,3004.0
2012-09-25 00:00:00,5132.0
2012-10-02 00:00:00,9014.0
2012-10-09 00:00:00,11819.0
2012-10-16 00:00:00,11495.0
2012-10-23 00:00:00,6903.0
2012-10-30 00:00:00,-2294.0
2012-11-06 00:00:00,-2197.0
2012-11-13 00:00:00,-4424.0
2012-11-20 00:00:00,-3431.0
2012-11-27 00:00:00,-2979.0
2012-12-04 00:00:00,9052.0
2012-12-11 00:00:00,12631.0
2012-12-18 00:00:00,15054.0
2012-12-25 00:00:00,7711.0
2013-01-01 00:00:00,9331.0
2013-01-08 00:00:00,12376.0
2013-01-15 00:00:00,11982.0
2013-01-22 00:00:00,9535.0
2013-01-29 00:00:00,9367.0
2013-02-05 00:00:00,16204.0
2013-02-12 00:00:00,15862.0
2013-02-19 00:00:00,9317.0
2013-02-26 00:00:00,-728.0
2013-03-05 00:00:00,-5587.0
2013-03-12 00:00:00,-6144.0
2013-03-19 00:00:00,-16170.0
2013-03-26 00:00:00,-20187.0
2013-04-02 00:00:00,-27005.0
2013-04-09 00:00:00,-27839.0
2013-04-16 00:00:00,-24127.0
2013-04-23 00:00:00,-21389.0
2013-04-30 00:00:00,-23999.0
2013-05-07 00:00:00,-19190.0
2013-05-14 00:00:00,-17455.0
2013-05-21 00:00:00,-13542.0
2013-05-28 00:00:00,-13566.0
2013-06-04 00:00:00,-9945.0
2013-06-11 00:00:00,-18047.0
2013-06-18 00:00:00,-26439.0
2013-06-25 00:00:00,-31689.0
2013-07-02 00:00:00,-28541.0
2013-07-09 00:00:00,-28048.0
2013-07-16 00:00:00,-22380.0
2013-07-23 00:00:00,-23104.0
2013-07-30 00:00:00,-31094.0
2013-08-06 00:00:00,-21577.0
2013-08-13 00:00:00,-6834.0
2013-08-20 00:00:00,-120.0
2013-08-27 00:00:00,-793.0
2013-09-03 00:00:00,-4452.0
2013-09-10 00:00:00,-8573.0
2013-09-17 00:00:00,-15253.0
2013-09-24 00:00:00,-7250.0
2013-10-01 00:00:00,-1334.0
2013-10-08 00:00:00,-3884.0
2013-10-15 00:00:00,-7728.0
2013-10-22 00:00:00,3615.0
2013-10-29 00:00:00,-10015.0
2013-11-05 00:00:00,-9784.0
2013-11-12 00:00:00,-18968.0
2013-11-19 00:00:00,-33898.0
2013-11-26 00:00:00,-30028.0
2013-12-03 00:00:00,-27351.0
2013-12-10 00:00:00,-13133.0
2013-12-17 00:00:00,2379.0
2013-12-24 00:00:00,4735.0
2013-12-31 00:00:00,10363.0
2014-01-07 00:00:00,12428.0
2014-01-14 00:00:00,7037.0
2014-01-21 00:00:00,9713.0
2014-01-28 00:00:00,4.0
2014-02-04 00:00:00,-13419.0
2014-02-11 00:00:00,-18050.0
2014-02-18 00:00:00,-13834.0
2014-02-25 00:00:00,-8079.0
2014-03-04 00:00:00,-13241.0
2014-03-11 00:00:00,-21560.0
2014-03-18 00:00:00,-28326.0
2014-03-25 00:00:00,-32975.0
2014-04-01 00:00:00,-25795.0
2014-04-08 00:00:00,-18501.0
2014-04-15 00:00:00,-21466.0
2014-04-22 00:00:00,-19917.0
2014-04-29 00:00:00,-13881.0
2014-05-06 00:00:00,-17453.0
2014-05-13 00:00:00,-10063.0
2014-05-20 00:00:00,-5593.0
2014-05-27 00:00:00,-4378.0
2014-06-03 00:00:00,-9740.0
2014-06-10 00:00:00,-15329.0
2014-06-17 00:00:00,-18039.0
2014-06-24 00:00:00,-7833.0
2014-07-01 00:00:00,-1764.0
2014-07-08 00:00:00,7132.0
2014-07-15 00:00:00,14627.0
2014-07-22 00:00:00,8802.0
2014-07-29 00:00:00,4319.0
2014-08-05 00:00:00,7506.0
2014-08-12 00:00:00,-1433.0
2014-08-19 00:00:00,-6114.0
2014-08-26 00:00:00,127.0
2014-09-02 00:00:00,-3790.0
2014-09-09 00:00:00,-9519.0
2014-09-16 00:00:00,-13456.0
2014-09-23 00:00:00,-19695.0
2014-09-30 00:00:00,-23431.0
2014-10-07 00:00:00,-24996.0
2014-10-14 00:00:00,-23865.0
2014-10-21 00:00:00,-27740.0
2014-10-28 00:00:00,-21357.0
2014-11-04 00:00:00,-25863.0
2014-11-11 00:00:00,-25561.0
2014-11-18 00:00:00,-24605.0
2014-11-25 00:00:00,-28278.0
2014-12-02 00:00:00,-34182.0
2014-12-09 00:00:00,-32958.0
2014-12-16 00:00:00,-29715.0
2014-12-23 00:00:00,-32199.0
2014-12-30 00:00:00,-35053.0
2015-01-06 00:00:00,-41265.0
2015-01-13 00:00:00,-35823.0
2015-01-20 00:00:00,-36785.0
2015-01-27 00:00:00,-40662.0
2015-02-03 00:00:00,-40298.0
2015-02-10 00:00:00,-41984.0
2015-02-17 00:00:00,-38165.0
2015-02-24 00:00:00,-30303.0
2015-03-03 00:00:00,-22811.0
2015-03-10 00:00:00,-21528.0
2015-03-17 00:00:00,-17547.0
2015-03-24 00:00:00,-9080.0
2015-03-31 00:00:00,-4154.0
2015-04-07 00:00:00,-4996.0
2015-04-14 00:00:00,-7230.0
2015-04-21 00:00:00,-12319.0
2015-04-28 00:00:00,-16083.0
2015-05-05 00:00:00,-452.0
2015-05-12 00:00:00,8516.0
2015-05-19 00:00:00,9341.0
2015-05-26 00:00:00,1624.0
2015-06-02 00:00:00,-8744.0
2015-06-09 00:00:00,-13382.0
2015-06-16 00:00:00,-16512.0
2015-06-23 00:00:00,-23639.0
2015-06-30 00:00:00,-21807.0
2015-07-07 00:00:00,-25429.0
2015-07-14 00:00:00,-20758.0
2015-07-21 00:00:00,-22167.0
2015-07-28 00:00:00,-24454.0
2015-08-04 00:00:00,-32330.0
2015-08-11 00:00:00,-33759.0
2015-08-18 00:00:00,-28972.0
2015-08-25 00:00:00,-23325.0
2015-09-01 00:00:00,-20390.0
2015-09-08 00:00:00,-13267.0
2015-09-15 00:00:00,-4041.0
2015-09-22 00:00:00,-13250.0
2015-09-29 00:00:00,-17006.0
2015-10-06 00:00:00,-11548.0
2015-10-13 00:00:00,-6141.0
2015-10-20 00:00:00,-4583.0
2015-10-27 00:00:00,-849.0
2015-11-03 00:00:00,-11778.0
2015-11-10 00:00:00,-27428.0
2015-11-17 00:00:00,-29283.0
2015-11-24 00:00:00,-33766.0
2015-12-01 00:00:00,-34253.0
2015-12-08 00:00:00,-34192.0
2015-12-15 00:00:00,-32633.0
2015-12-22 00:00:00,-30339.0
2015-12-29 00:00:00,-30106.0
2016-01-05 00:00:00,-31813.0
2016-01-12 00:00:00,-42025.0
2016-01-19 00:00:00,-43406.0
2016-01-26 00:00:00,-36827.0
2016-02-02 00:00:00,-35511.0
2016-02-09 00:00:00,-26828.0
2016-02-16 00:00:00,-27338.0
2016-02-23 00:00:00,-22947.0
2016-03-01 00:00:00,-24616.0
2016-03-08 00:00:00,-2878.0
2016-03-15 00:00:00,-547.0
2016-03-22 00:00:00,918.0
2016-03-29 00:00:00,-4426.0
2016-04-05 00:00:00,-10085.0
2016-04-12 00:00:00,-22321.0
2016-04-19 00:00:00,-24516.0
2016-04-26 00:00:00,-8076.0
2016-05-03 00:00:00,-7460.0
2016-05-10 00:00:00,-22826.0
2016-05-17 00:00:00,-30646.0
2016-05-24 00:00:00,-41053.0
2016-05-31 00:00:00,-38827.0
2016-06-07 00:00:00,-39294.0
2016-06-14 00:00:00,-44811.0
2016-06-21 00:00:00,-32926.0
2016-06-28 00:00:00,-19814.0
2016-07-05 00:00:00,-19469.0
2016-07-12 00:00:00,-14230.0
2016-07-19 00:00:00,2364.0
2016-07-26 00:00:00,4818.0
2016-08-02 00:00:00,2682.0
2016-08-09 00:00:00,-5178.0
2016-08-16 00:00:00,-5074.0
2016-08-23 00:00:00,-6666.0
2016-08-30 00:00:00,-21873.0
2016-09-06 00:00:00,-30225.0
2016-09-13 00:00:00,-25293.0
2016-09-20 00:00:00,-13151.0
2016-09-27 00:00:00,-2090.0
2016-10-04 00:00:00,899.0
2016-10-11 00:00:00,4326.0
2016-10-18 00:00:00,-11142.0
2016-10-25 00:00:00,-13754.0
2016-11-01 00:00:00,11298.0
2016-11-08 00:00:00,39636.0
2016-11-15 00:00:00,44995.0
2016-11-22 00:00:00,46312.0
2016-11-29 00:00:00,53361.0
2016-12-06 00:00:00,56391.0
2016-12-13 00:00:00,61115.0
2016-12-20 00:00:00,52026.0
2016-12-27 00:00:00,45763.0
2017-01-03 00:00:00,44484.0
2017-01-10 00:00:00,47703.0
2017-01-17 00:00:00,46499.0
2017-01-24 00:00:00,50310.0
2017-01-31 00:00:00,57276.0
2017-02-07 00:00:00,51559.0
2017-02-14 00:00:00,45243.0
2017-02-21 00:00:00,42794.0
2017-02-28 00:00:00,37998.0
2017-03-07 00:00:00,29719.0
2017-03-14 00:00:00,22439.0
2017-03-21 00:00:00,21670.0
2017-03-28 00:00:00,29865.0
2017-04-04 00:00:00,26868.0
2017-04-11 00:00:00,25845.0
2017-04-18 00:00:00,16043.0
2017-04-25 00:00:00,12458.0
2017-05-02 00:00:00,18538.0
2017-05-09 00:00:00,8081.0
2017-05-16 00:00:00,8646.0
2017-05-23 00:00:00,13031.0
2017-05-30 00:00:00,9644.0
2017-06-06 00:00:00,12726.0
2017-06-13 00:00:00,18798.0
2017-06-20 00:00:00,12779.0
2017-06-27 00:00:00,13688.0
2017-07-04 00:00:00,16345.0
2017-07-11 00:00:00,12006.0
2017-07-18 00:00:00,15330.0
2017-07-25 00:00:00,24257.0
2017-08-01 00:00:00,31215.0
2017-08-08 00:00:00,33136.0
2017-08-15 00:00:00,36829.0
2017-08-22 00:00:00,40846.0
2017-08-29 00:00:00,43652.0
2017-09-05 00:00:00,48865.0
2017-09-12 00:00:00,46614.0
2017-09-19 00:00:00,32587.0
2017-09-26 00:00:00,30136.0
2017-10-03 00:00:00,33829.0
2017-10-10 00:00:00,40738.0
2017-10-17 00:00:00,51487.0
2017-10-24 00:00:00,53252.0
2017-10-31 00:00:00,47593.0
2017-11-07 00:00:00,42575.0
2017-11-14 00:00:00,39714.0
2017-11-21 00:00:00,40613.0
2017-11-28 00:00:00,43923.0
2017-12-05 00:00:00,26653.0
2017-12-12 00:00:00,27754.0
2017-12-19 00:00:00,42698.0
2017-12-26 00:00:00,53269.0
2018-01-02 00:00:00,63912.0
2018-01-09 00:00:00,62284.0
2018-01-16 00:00:00,61166.0
2018-01-23 00:00:00,52035.0
2018-01-30 00:00:00,53839.0
2018-02-06 00:00:00,52955.0
2018-02-13 00:00:00,44748.0
2018-02-20 00:00:00,47301.0
2018-02-27 00:00:00,41401.0
2018-03-06 00:00:00,41920.0
2018-03-13 00:00:00,39635.0
2018-03-20 00:00:00,30861.0
2018-03-27 00:00:00,19187.0
2018-04-03 00:00:00,20910.0
2018-04-10 00:00:00,23706.0
2018-04-17 00:00:00,30717.0
2018-04-24 00:00:00,42636.0
2018-05-01 00:00:00,34916.0
2018-05-08 00:00:00,33452.0
2018-05-15 00:00:00,36355.0
2018-05-22 00:00:00,39012.0
2018-05-29 00:00:00,37600.0
2018-06-05 00:00:00,47707.0
2018-06-12 00:00:00,70537.0
2018-06-19 00:00:00,56311.0
2018-06-26 00:00:00,34045.0
2018-07-03 00:00:00,25505.0
2018-07-10 00:00:00,14183.0
2018-07-17 00:00:00,9113.0
2018-07-24 00:00:00,9367.0
2018-07-31 00:00:00,8224.0
2018-08-07 00:00:00,2190.0
2018-08-14 00:00:00,3088.0
2018-08-21 00:00:00,-1699.0
2018-08-28 00:00:00,291.0
2018-09-04 00:00:00,-5977.0
2018-09-11 00:00:00,-8894.0
2018-09-18 00:00:00,-191.0
2018-09-25 00:00:00,11104.0
2018-10-02 00:00:00,11975.0
2018-10-09 00:00:00,8247.0
2018-10-16 00:00:00,8918.0
2018-10-23 00:00:00,9347.0
2018-10-30 00:00:00,667.0
2018-11-06 00:00:00,6386.0
2018-11-13 00:00:00,3415.0
2018-11-20 00:00:00,12602.0
2018-11-27 00:00:00,10692.0
2018-12-04 00:00:00,10683.0
2018-12-11 00:00:00,7247.0
2018-12-18 00:00:00,-2678.0
2018-12-25 00:00:00,-9852.0
2019-01-01 00:00:00,-10348.0
2019-01-08 00:00:00,-19452.0
2019-01-15 00:00:00,-27592.0
2019-01-22 00:00:00,-24525.0
2019-01-29 00:00:00,-21913.0
2019-02-05 00:00:00,-6082.0
2019-02-12 00:00:00,1203.0
2019-02-19 00:00:00,878.0
2019-02-26 00:00:00,22384.0
2019-03-05 00:00:00,31256.0
2019-03-12 00:00:00,25567.0
2019-03-19 00:00:00,16355.0
2019-03-26 00:00:00,1942.0
2019-04-02 00:00:00,4556.0
2019-04-09 00:00:00,3014.0
2019-04-16 00:00:00,5312.0
2019-04-23 00:00:00,2126.0
2019-04-30 00:00:00,-133.0
2019-05-07 00:00:00,-12878.0
2019-05-14 00:00:00,-19366.0
2019-05-21 00:00:00,-21719.0
2019-05-28 00:00:00,-23833.0
2019-06-04 00:00:00,-26746.0
