date,MOVE_BondVolatility
2016-06-26 00:00:00,77.9402
2016-06-27 00:00:00,81.5678
2016-06-28 00:00:00,78.6739
2016-06-29 00:00:00,71.8031
2016-06-30 00:00:00,72.6386
2016-07-01 00:00:00,74.3476
2016-07-02 00:00:00,74.3476
2016-07-03 00:00:00,74.3476
2016-07-04 00:00:00,74.3476
2016-07-05 00:00:00,78.1189
2016-07-06 00:00:00,76.0937
2016-07-07 00:00:00,76.7253
2016-07-08 00:00:00,72.3051
2016-07-09 00:00:00,72.3051
2016-07-10 00:00:00,72.3051
2016-07-11 00:00:00,69.7813
2016-07-12 00:00:00,71.4307
2016-07-13 00:00:00,71.6458
2016-07-14 00:00:00,73.5649
2016-07-15 00:00:00,74.7729
2016-07-16 00:00:00,74.7729
2016-07-17 00:00:00,74.7729
2016-07-18 00:00:00,72.9246
2016-07-19 00:00:00,70.5273
2016-07-20 00:00:00,70.6421
2016-07-21 00:00:00,71.8596
2016-07-22 00:00:00,69.908
2016-07-23 00:00:00,69.908
2016-07-24 00:00:00,69.908
2016-07-25 00:00:00,68.7472
2016-07-26 00:00:00,68.7587
2016-07-27 00:00:00,66.6415
2016-07-28 00:00:00,66.6729
2016-07-29 00:00:00,64.1468
2016-07-30 00:00:00,64.1468
2016-07-31 00:00:00,64.1468
2016-08-01 00:00:00,63.6696
2016-08-02 00:00:00,67.8455
2016-08-03 00:00:00,67.7936
2016-08-04 00:00:00,67.104
2016-08-05 00:00:00,66.5854
2016-08-06 00:00:00,66.5854
2016-08-07 00:00:00,66.5854
2016-08-08 00:00:00,65.5025
2016-08-09 00:00:00,64.3033
2016-08-10 00:00:00,63.3392
2016-08-11 00:00:00,65.2893
2016-08-12 00:00:00,64.3692
2016-08-13 00:00:00,64.3692
2016-08-14 00:00:00,64.3692
2016-08-15 00:00:00,63.7693
2016-08-16 00:00:00,63.6712
2016-08-17 00:00:00,63.5403
2016-08-18 00:00:00,63.6508
2016-08-19 00:00:00,64.8151
2016-08-20 00:00:00,64.8151
2016-08-21 00:00:00,64.8151
2016-08-22 00:00:00,67.8711
2016-08-23 00:00:00,66.6166
2016-08-24 00:00:00,66.5089
2016-08-25 00:00:00,69.3552
2016-08-26 00:00:00,71.2373
2016-08-27 00:00:00,71.2373
2016-08-28 00:00:00,71.2373
2016-08-29 00:00:00,68.6079
2016-08-30 00:00:00,69.1142
2016-08-31 00:00:00,69.0806
2016-09-01 00:00:00,70.2452
2016-09-02 00:00:00,66.4643
2016-09-03 00:00:00,66.4643
2016-09-04 00:00:00,66.4643
2016-09-05 00:00:00,66.4643
2016-09-06 00:00:00,63.4574
2016-09-07 00:00:00,64.067
2016-09-08 00:00:00,65.952
2016-09-09 00:00:00,69.1197
2016-09-10 00:00:00,69.1197
2016-09-11 00:00:00,69.1197
2016-09-12 00:00:00,68.9051
2016-09-13 00:00:00,70.604
2016-09-14 00:00:00,69.226
2016-09-15 00:00:00,69.1296
2016-09-16 00:00:00,69.2109
2016-09-17 00:00:00,69.2109
2016-09-18 00:00:00,69.2109
2016-09-19 00:00:00,69.2268
2016-09-20 00:00:00,68.6234
2016-09-21 00:00:00,63.7282
2016-09-22 00:00:00,61.1808
2016-09-23 00:00:00,59.7525
2016-09-24 00:00:00,59.7525
2016-09-25 00:00:00,59.7525
2016-09-26 00:00:00,58.8544
2016-09-27 00:00:00,59.234
2016-09-28 00:00:00,57.6154
2016-09-29 00:00:00,58.845
2016-09-30 00:00:00,60.556
2016-10-01 00:00:00,60.556
2016-10-02 00:00:00,60.556
2016-10-03 00:00:00,60.4308
2016-10-04 00:00:00,62.0787
2016-10-05 00:00:00,62.5694
2016-10-06 00:00:00,64.2883
2016-10-07 00:00:00,62.8398
2016-10-08 00:00:00,62.8398
2016-10-09 00:00:00,62.8398
2016-10-10 00:00:00,62.8398
2016-10-11 00:00:00,63.9548
2016-10-12 00:00:00,64.2686
2016-10-13 00:00:00,64.5478
2016-10-14 00:00:00,64.9764
2016-10-15 00:00:00,64.9764
2016-10-16 00:00:00,64.9764
2016-10-17 00:00:00,64.4162
2016-10-18 00:00:00,63.1833
2016-10-19 00:00:00,61.6413
2016-10-20 00:00:00,59.6172
2016-10-21 00:00:00,57.0892
2016-10-22 00:00:00,57.0892
2016-10-23 00:00:00,57.0892
2016-10-24 00:00:00,56.7909
2016-10-25 00:00:00,57.4141
2016-10-26 00:00:00,59.5122
2016-10-27 00:00:00,62.5324
2016-10-28 00:00:00,64.375
2016-10-29 00:00:00,64.375
2016-10-30 00:00:00,64.375
2016-10-31 00:00:00,65.465
2016-11-01 00:00:00,67.764
2016-11-02 00:00:00,69.2476
2016-11-03 00:00:00,72.5734
2016-11-04 00:00:00,74.6135
2016-11-05 00:00:00,74.6135
2016-11-06 00:00:00,74.6135
2016-11-07 00:00:00,72.3432
2016-11-08 00:00:00,68.4678
2016-11-09 00:00:00,76.3282
2016-11-10 00:00:00,82.5707
2016-11-11 00:00:00,82.5707
2016-11-12 00:00:00,82.5707
2016-11-13 00:00:00,82.5707
2016-11-14 00:00:00,89.2178
2016-11-15 00:00:00,84.1174
2016-11-16 00:00:00,80.1246
2016-11-17 00:00:00,77.5351
2016-11-18 00:00:00,81.6473
2016-11-19 00:00:00,81.6473
2016-11-20 00:00:00,81.6473
2016-11-21 00:00:00,80.5793
2016-11-22 00:00:00,76.4616
2016-11-23 00:00:00,78.6397
2016-11-24 00:00:00,78.6397
2016-11-25 00:00:00,79.693
2016-11-26 00:00:00,79.693
2016-11-27 00:00:00,79.693
2016-11-28 00:00:00,78.7352
2016-11-29 00:00:00,77.3039
2016-11-30 00:00:00,80.9553
2016-12-01 00:00:00,86.6292
2016-12-02 00:00:00,82.058
2016-12-03 00:00:00,82.058
2016-12-04 00:00:00,82.058
2016-12-05 00:00:00,79.8381
2016-12-06 00:00:00,76.5652
2016-12-07 00:00:00,73.4412
2016-12-08 00:00:00,73.1102
2016-12-09 00:00:00,75.5479
2016-12-10 00:00:00,75.5479
2016-12-11 00:00:00,75.5479
2016-12-12 00:00:00,76.3941
2016-12-13 00:00:00,75.3586
2016-12-14 00:00:00,75.8376
2016-12-15 00:00:00,78.6122
2016-12-16 00:00:00,78.2199
2016-12-17 00:00:00,78.2199
2016-12-18 00:00:00,78.2199
2016-12-19 00:00:00,75.2435
2016-12-20 00:00:00,75.4572
2016-12-21 00:00:00,73.971
2016-12-22 00:00:00,74.0548
2016-12-23 00:00:00,72.5726
2016-12-24 00:00:00,72.5726
