Tab,Version,Variant,Timing,Sharpe,Net5_Sharpe,AnnRet_pct,MaxDD_USD
Value,V1 MA Reversion 1yr,F6,Same-Day,-0.131,-0.14,-1.55,-6336.9
Value,V1 MA Reversion 1yr,F6,Lag-1,-0.051,-0.06,-0.6,-5508.1
Value,V1 MA Reversion 3yr,F6,Same-Day,-0.015,-0.021,-0.2,-5359.9
Value,V1 MA Reversion 3yr,F6,Lag-1,0.005,-0.001,0.07,-5001.0
Value,V1 MA Reversion 5yr,F6,Same-Day,0.242,0.233,3.32,-5175.0
Value,V1 MA Reversion 5yr,F6,Lag-1,0.299,0.291,4.11,-5371.2
Value,V1 MA Reversion 7yr,F6,Same-Day,0.131,0.125,1.49,-5024.5
Value,V1 MA Reversion 7yr,F6,Lag-1,0.087,0.081,0.99,-5186.5
Value,V1 MA Reversion 10yr,F6,Same-Day,0.07,0.065,0.76,-4854.9
Value,V1 MA Reversion 10yr,F6,Lag-1,0.04,0.036,0.44,-4684.2
Value,V1 MA Reversion 1yr,F7,Same-Day,-0.079,-0.088,-0.94,-6337.1
Value,V1 MA Reversion 1yr,F7,Lag-1,-0.012,-0.022,-0.14,-4942.8
Value,V1 MA Reversion 3yr,F7,Same-Day,0.0,-0.006,0.01,-5359.9
Value,V1 MA Reversion 3yr,F7,Lag-1,0.061,0.055,0.82,-4984.5
Value,V1 MA Reversion 5yr,F7,Same-Day,0.272,0.264,3.75,-5175.0
Value,V1 MA Reversion 5yr,F7,Lag-1,0.338,0.33,4.65,-5371.2
Value,V1 MA Reversion 7yr,F7,Same-Day,0.11,0.104,1.26,-5024.5
Value,V1 MA Reversion 7yr,F7,Lag-1,0.068,0.062,0.78,-5186.5
Value,V1 MA Reversion 10yr,F7,Same-Day,0.051,0.047,0.56,-4854.9
Value,V1 MA Reversion 10yr,F7,Lag-1,0.05,0.046,0.54,-4684.2
Value,V1 MA Reversion 1yr,F8,Same-Day,-0.082,-0.091,-0.97,-6805.6
Value,V1 MA Reversion 1yr,F8,Lag-1,0.001,-0.009,0.01,-4942.8
Value,V1 MA Reversion 3yr,F8,Same-Day,0.038,0.032,0.52,-5267.9
Value,V1 MA Reversion 3yr,F8,Lag-1,0.059,0.052,0.79,-5016.2
Value,V1 MA Reversion 5yr,F8,Same-Day,0.277,0.269,3.83,-5175.0
Value,V1 MA Reversion 5yr,F8,Lag-1,0.328,0.32,4.53,-5371.2
Value,V1 MA Reversion 7yr,F8,Same-Day,0.111,0.105,1.27,-5024.5
Value,V1 MA Reversion 7yr,F8,Lag-1,0.058,0.052,0.66,-5186.5
Value,V1 MA Reversion 10yr,F8,Same-Day,0.041,0.036,0.45,-4726.7
Value,V1 MA Reversion 10yr,F8,Lag-1,0.047,0.042,0.51,-4663.4
Value,V1 MA Reversion 1yr,F9,Same-Day,-0.046,-0.056,-0.54,-6316.3
Value,V1 MA Reversion 1yr,F9,Lag-1,0.028,0.018,0.34,-4769.8
Value,V1 MA Reversion 3yr,F9,Same-Day,0.048,0.041,0.65,-5521.1
Value,V1 MA Reversion 3yr,F9,Lag-1,0.042,0.035,0.57,-5192.0
Value,V1 MA Reversion 5yr,F9,Same-Day,0.241,0.233,3.35,-5175.0
Value,V1 MA Reversion 5yr,F9,Lag-1,0.269,0.26,3.73,-5371.2
Value,V1 MA Reversion 7yr,F9,Same-Day,0.111,0.105,1.28,-5024.5
Value,V1 MA Reversion 7yr,F9,Lag-1,0.011,0.005,0.12,-5186.5
Value,V1 MA Reversion 10yr,F9,Same-Day,0.056,0.051,0.61,-4726.7
Value,V1 MA Reversion 10yr,F9,Lag-1,0.054,0.049,0.59,-4663.4
Value,V1 MA Reversion 1yr,F10,Same-Day,-0.021,-0.031,-0.25,-6015.6
Value,V1 MA Reversion 1yr,F10,Lag-1,0.082,0.072,0.97,-4754.2
Value,V1 MA Reversion 3yr,F10,Same-Day,0.015,0.008,0.2,-5521.1
Value,V1 MA Reversion 3yr,F10,Lag-1,0.054,0.047,0.73,-5192.0
Value,V1 MA Reversion 5yr,F10,Same-Day,0.212,0.204,2.96,-5175.0
Value,V1 MA Reversion 5yr,F10,Lag-1,0.27,0.261,3.76,-5371.2
Value,V1 MA Reversion 7yr,F10,Same-Day,0.128,0.122,1.49,-5024.5
Value,V1 MA Reversion 7yr,F10,Lag-1,0.031,0.025,0.36,-5186.5
Value,V1 MA Reversion 10yr,F10,Same-Day,0.119,0.114,1.3,-4623.9
Value,V1 MA Reversion 10yr,F10,Lag-1,0.041,0.037,0.45,-4563.9
Value,V1 MA Reversion 1yr,F11,Same-Day,0.048,0.038,0.57,-5455.8
Value,V1 MA Reversion 1yr,F11,Lag-1,0.111,0.101,1.31,-4483.8
Value,V1 MA Reversion 3yr,F11,Same-Day,-0.008,-0.014,-0.11,-5610.1
Value,V1 MA Reversion 3yr,F11,Lag-1,0.066,0.059,0.89,-5174.8
Value,V1 MA Reversion 5yr,F11,Same-Day,0.22,0.212,3.08,-5175.0
Value,V1 MA Reversion 5yr,F11,Lag-1,0.277,0.269,3.88,-5371.2
Value,V1 MA Reversion 7yr,F11,Same-Day,0.133,0.127,1.56,-5024.5
Value,V1 MA Reversion 7yr,F11,Lag-1,0.067,0.061,0.79,-5214.2
Value,V1 MA Reversion 10yr,F11,Same-Day,0.132,0.127,1.46,-4633.4
Value,V1 MA Reversion 10yr,F11,Lag-1,0.064,0.059,0.7,-4750.4
Value,V1 MA Reversion 1yr,F12,Same-Day,0.061,0.05,0.73,-5455.8
Value,V1 MA Reversion 1yr,F12,Lag-1,0.121,0.11,1.43,-4483.8
Value,V1 MA Reversion 3yr,F12,Same-Day,-0.017,-0.023,-0.22,-5610.1
Value,V1 MA Reversion 3yr,F12,Lag-1,0.053,0.046,0.72,-5174.8
Value,V1 MA Reversion 5yr,F12,Same-Day,0.184,0.176,2.58,-5175.0
Value,V1 MA Reversion 5yr,F12,Lag-1,0.235,0.227,3.31,-5371.2
Value,V1 MA Reversion 7yr,F12,Same-Day,0.107,0.101,1.25,-5024.5
Value,V1 MA Reversion 7yr,F12,Lag-1,0.029,0.023,0.35,-5214.2
Value,V1 MA Reversion 10yr,F12,Same-Day,0.115,0.11,1.27,-4707.2
Value,V1 MA Reversion 10yr,F12,Lag-1,0.043,0.038,0.47,-4750.4
Value,V1 MA Reversion 1yr,F13,Same-Day,0.019,0.008,0.22,-5669.4
Value,V1 MA Reversion 1yr,F13,Lag-1,0.133,0.122,1.57,-4333.8
Value,V1 MA Reversion 3yr,F13,Same-Day,-0.007,-0.014,-0.1,-5652.6
Value,V1 MA Reversion 3yr,F13,Lag-1,0.069,0.063,0.95,-5055.0
Value,V1 MA Reversion 5yr,F13,Same-Day,0.196,0.188,2.77,-5175.0
Value,V1 MA Reversion 5yr,F13,Lag-1,0.236,0.228,3.34,-5371.2
Value,V1 MA Reversion 7yr,F13,Same-Day,0.159,0.153,1.89,-5024.5
Value,V1 MA Reversion 7yr,F13,Lag-1,-0.041,-0.047,-0.49,-5641.7
Value,V1 MA Reversion 10yr,F13,Same-Day,0.119,0.114,1.32,-4444.2
