PERFORMANCE SUMMARY,,
Metric,Value,
Start Date,2006-01-03,
End Date,2025-12-31,
Total Calendar Days,5053,
Active Trading Days,5009,
Warmup Days,44,
Total PnL (USD/MT),22764.98,
Annualized Return,1145.29,
Annualized Std Dev,1845.49,
Sharpe Ratio,0.6206,
Sortino Ratio,0.9072,
Max Drawdown,-4676.0,
Calmar Ratio,0.2449,
Hit Rate,51.15%,
Avg Win (USD/MT),86.17,
Avg Loss (USD/MT),-81.31,
Profit Factor,1.115,
Max Consecutive Wins,10,
Max Consecutive Losses,14,
POSITION NOTE,Position[t] = Signal[t-1]  (1-day lag, no leakage),
PnL NOTE,Daily_PnL = Position * ΔF1_continuous  (roll cost captured),
Cum_PnL NOTE,Cum_PnL = cumsum(Daily_PnL)  [NOT Daily_change×abs(pos)],
,,
TRADEBOOK,,
Date,Strategy,F1_raw,F1_continuous,MA_35,MA_44,Crossover,Signal,Position,F1_cont_daily_change,Daily_PnL,MTM,Cum_PnL
2018-02-15 00:00:00,MA_Crossover(35,44),7143.75,7114.25,7053.1571,7030.9432,22.214,1.0,1.0,18.0,18.0,7114.25,13505.75
2018-02-16 00:00:00,MA_Crossover(35,44),7192.0,7162.5,7051.0786,7042.2102,8.8683,1.0,1.0,48.25,48.25,7162.5,13554.0
2018-02-19 00:00:00,MA_Crossover(35,44),7076.5,7047.0,7047.0071,7049.358,-2.3508,-1.0,1.0,-115.5,-115.5,7047.0,13438.5
2018-02-20 00:00:00,MA_Crossover(35,44),7063.25,7032.0,7043.8643,7054.0852,-10.2209,-1.0,-1.0,-15.0,15.0,-7032.0,13453.5
2018-02-21 00:00:00,MA_Crossover(35,44),7092.5,7061.0,7043.2929,7059.0455,-15.7526,-1.0,-1.0,29.0,-29.0,-7061.0,13424.5
2018-02-22 00:00:00,MA_Crossover(35,44),7137.0,7104.5,7042.8,7063.983,-21.183,-1.0,-1.0,43.5,-43.5,-7104.5,13381.0
2018-02-23 00:00:00,MA_Crossover(35,44),7069.25,7023.75,7042.2929,7065.1761,-22.8833,-1.0,-1.0,-80.75,80.75,-7023.75,13461.75
2018-02-26 00:00:00,MA_Crossover(35,44),7083.75,7038.25,7042.2,7065.75,-23.55,-1.0,-1.0,14.5,-14.5,-7038.25,13447.25
2018-02-27 00:00:00,MA_Crossover(35,44),6993.25,6947.75,7040.15,7063.3125,-23.1625,-1.0,-1.0,-90.5,90.5,-6947.75,13537.75
2018-02-28 00:00:00,MA_Crossover(35,44),6903.5,6858.0,7034.0571,7056.1705,-22.1133,-1.0,-1.0,-89.75,89.75,-6858.0,13627.5
2018-03-01 00:00:00,MA_Crossover(35,44),6894.5,6849.0,7028.0857,7047.7557,-19.67,-1.0,-1.0,-9.0,9.0,-6849.0,13636.5
