date,SHFE_Copper_Stocks_kt
2012-03-16 00:00:00,1840.0
2012-03-19 00:00:00,-149.0
2012-03-20 00:00:00,-3475.0
2012-03-21 00:00:00,-600.0
2012-03-22 00:00:00,-24.0
2012-03-23 00:00:00,-376.0
2012-03-26 00:00:00,-302.0
2012-03-27 00:00:00,-726.0
2012-03-28 00:00:00,350.0
2012-03-29 00:00:00,349.0
2012-03-30 00:00:00,-276.0
2012-04-02 00:00:00,-276.0
2012-04-03 00:00:00,-276.0
2012-04-04 00:00:00,-276.0
2012-04-05 00:00:00,48.0
2012-04-06 00:00:00,-826.0
2012-04-09 00:00:00,-650.0
2012-04-10 00:00:00,-699.0
2012-04-11 00:00:00,-1452.0
2012-04-12 00:00:00,-3799.0
2012-04-13 00:00:00,143.0
2012-04-16 00:00:00,86.0
2012-04-17 00:00:00,9738.0
2012-04-18 00:00:00,-1399.0
2012-04-19 00:00:00,-3425.0
2012-04-20 00:00:00,-2655.0
2012-04-23 00:00:00,-1157.0
2012-04-24 00:00:00,-3001.0
2012-04-25 00:00:00,-1923.0
2012-04-26 00:00:00,-1354.0
2012-04-27 00:00:00,-925.0
2012-04-30 00:00:00,-925.0
2012-05-01 00:00:00,-925.0
2012-05-02 00:00:00,-1101.0
2012-05-03 00:00:00,-1148.0
2012-05-04 00:00:00,-1574.0
2012-05-07 00:00:00,-2595.0
2012-05-08 00:00:00,-2223.0
2012-05-09 00:00:00,-954.0
2012-05-10 00:00:00,-2099.0
2012-05-11 00:00:00,-1974.0
2012-05-14 00:00:00,-1047.0
2012-05-15 00:00:00,-3372.0
2012-05-16 00:00:00,-29.0
2012-05-17 00:00:00,-504.0
2012-05-18 00:00:00,-5048.0
2012-05-21 00:00:00,-10577.0
2012-05-22 00:00:00,-5653.0
2012-05-23 00:00:00,-1553.0
2012-05-24 00:00:00,-3672.0
2012-05-25 00:00:00,-1551.0
2012-05-28 00:00:00,-1924.0
2012-05-29 00:00:00,-150.0
2012-05-30 00:00:00,-200.0
2012-05-31 00:00:00,-425.0
2012-06-01 00:00:00,-1725.0
2012-06-04 00:00:00,-2501.0
2012-06-05 00:00:00,-3148.0
2012-06-06 00:00:00,-300.0
2012-06-07 00:00:00,-150.0
2012-06-08 00:00:00,-425.0
2012-06-11 00:00:00,-1300.0
2012-06-12 00:00:00,-25.0
2012-06-13 00:00:00,-299.0
2012-06-14 00:00:00,-348.0
2012-06-15 00:00:00,250.0
2012-06-18 00:00:00,4250.0
2012-06-19 00:00:00,0.0
2012-06-20 00:00:00,-4923.0
2012-06-21 00:00:00,-1321.0
2012-06-22 00:00:00,-1321.0
2012-06-25 00:00:00,-600.0
2012-06-26 00:00:00,-400.0
2012-06-27 00:00:00,-50.0
2012-06-28 00:00:00,103.0
2012-06-29 00:00:00,0.0
2012-07-02 00:00:00,-99.0
2012-07-03 00:00:00,0.0
2012-07-04 00:00:00,800.0
2012-07-05 00:00:00,-276.0
2012-07-06 00:00:00,250.0
2012-07-09 00:00:00,351.0
2012-07-10 00:00:00,977.0
2012-07-11 00:00:00,-674.0
2012-07-12 00:00:00,-774.0
2012-07-13 00:00:00,150.0
2012-07-16 00:00:00,1272.0
2012-07-17 00:00:00,2599.0
2012-07-18 00:00:00,-199.0
2012-07-19 00:00:00,-5072.0
2012-07-20 00:00:00,-1204.0
2012-07-23 00:00:00,596.0
2012-07-24 00:00:00,-1229.0
2012-07-25 00:00:00,-825.0
2012-07-26 00:00:00,-525.0
2012-07-27 00:00:00,-849.0
2012-07-30 00:00:00,0.0
2012-07-31 00:00:00,0.0
2012-08-01 00:00:00,0.0
2012-08-02 00:00:00,-447.0
2012-08-03 00:00:00,-50.0
2012-08-06 00:00:00,-1222.0
2012-08-07 00:00:00,-149.0
2012-08-08 00:00:00,-300.0
2012-08-09 00:00:00,-25.0
2012-08-10 00:00:00,-300.0
2012-08-13 00:00:00,27.0
2012-08-14 00:00:00,1223.0
2012-08-15 00:00:00,4120.0
2012-08-16 00:00:00,14666.0
2012-08-17 00:00:00,-449.0
2012-08-20 00:00:00,-1447.0
2012-08-21 00:00:00,-1099.0
2012-08-22 00:00:00,-498.0
2012-08-23 00:00:00,-2987.0
2012-08-24 00:00:00,-474.0
2012-08-27 00:00:00,-3199.0
2012-08-28 00:00:00,-1052.0
